index,aoi,id,resolution,Mask,Sat,Dark,Shadow,Veg,Bare,Water,Unknown,Cl_Med,Cl_High,Cl_Cirrus,Snow,Total_pixels,NoData_pixels,NoData_pc,aoi_width,aoi_height,runtime,Cl_all,Mask_diff,Sat_diff,Dark_diff,Shadow_diff,Veg_diff,Bare_diff,Water_diff,Unknown_diff,Cl_Med_diff,Cl_High_diff,Cl_Cirrus_diff,Snow_diff,Cl_all_diff,diff_max,tile_size
10,T50PQT_20000_0,S2A_MSIL2A_20230624T022531_R046_T50PQT_20230624T082536,50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.315625,17.588125,0.09625,0.0,160000,0,0.0,20000.000000000582,20000.000000000233,0.33866167068481445,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004075000000000273,0.011925000000001518,-0.007849999999999996,0.0,0.0,0.0,20000.0
16,T50PQT_20000_0,S2A_MSIL2A_20230624T022531_R046_T50PQT_20230624T082536,100,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.3775,17.5225,0.1,0.0,40000,0,0.0,20000.000000000582,20000.000000000233,0.33188486099243164,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057800000000000296,-0.05369999999999919,-0.0040999999999999925,0.0,0.0,0.0,20000.0
22,T50PQT_20000_0,S2A_MSIL2A_20230624T022531_R046_T50PQT_20230624T082536,200,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6,17.31,0.09,0.0,10000,0,0.0,20000.000000000582,20000.000000000233,0.3434329032897949,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2802999999999969,-0.2662000000000013,-0.014100000000000001,0.0,0.0,0.0,20000.0
28,T50PQT_20000_0,S2A_MSIL2A_20230624T022531_R046_T50PQT_20230624T082536,500,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.3125,17.5625,0.125,0.0,1600,0,0.0,20000.000000000582,20000.000000000233,0.3260977268218994,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007199999999997431,-0.013700000000000045,0.020900000000000002,0.0,0.0,0.0,20000.0
34,T50PQT_20000_0,S2A_MSIL2A_20230624T022531_R046_T50PQT_20230624T082536,1000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.75,16.25,0.0,0.0,400,0,0.0,20000.000000000582,20000.000000000233,0.6019558906555176,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4303000000000026,-1.3262,-0.1041,0.0,0.0,0.0,20000.0
1,T50PQT_20000_0,S2B_MSIL2A_20230609T022539_R046_T50PQT_20230609T075214,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000000,0,0.0,20000.000000000582,20000.000000000233,0.8124465942382812,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0
7,T50PQT_20000_0,S2B_MSIL2A_20230609T022539_R046_T50PQT_20230609T075214,50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,160000,0,0.0,20000.000000000582,20000.000000000233,0.33866167068481445,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0
13,T50PQT_20000_0,S2B_MSIL2A_20230609T022539_R046_T50PQT_20230609T075214,100,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,40000,0,0.0,20000.000000000582,20000.000000000233,0.33188486099243164,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0
19,T50PQT_20000_0,S2B_MSIL2A_20230609T022539_R046_T50PQT_20230609T075214,200,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10000,0,0.0,20000.000000000582,20000.000000000233,0.3434329032897949,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0
25,T50PQT_20000_0,S2B_MSIL2A_20230609T022539_R046_T50PQT_20230609T075214,500,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1600,0,0.0,20000.000000000582,20000.000000000233,0.3260977268218994,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0
